Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,12255,932.7336,884,199284,3.88
gwn5aCpcmRs,Practical Machine Learning Course Introduction   Day 1,"Aug 7, 2024",3325,3787,319.0528,342,51808,4.73
eFAeLQRcXwU,Practical Machine Learning Course Day 2 | Building First ML Model,"Aug 14, 2024",3445,2490,227.588,139,35424,5.14
5i2SD1fkkeo,Practical Machine Learning Course Day 3 | Phases of Machine Learning Implementation,"Aug 27, 2024",3234,609,66.0501,15,7857,5.07
X6WhvR9LfzA,Practical Machine Learning Course Day 4 | Data Preprocessing Steps,"Sep 24, 2024",3185,511,58.4021,15,8228,3.97
Y2h77O63S6Y,How to Get 1456$ Dollars Value Professional Software for Free,"Jan 1, 2025",483,411,12.0315,7,4599,3.48
92JPvsxyoYo,From Zero to Pro Freelancing Course with Insider Secrets ðŸ’¼,"Oct 28, 2024",235,392,9.1204,6,6872,4.18
U5uvVb9IvMk,Vectors and Embeddings in Natural Language Processing,"Sep 8, 2024",2130,352,37.607,14,5932,2.73
sV9g6WHZT6A,Practical Machine Learning Course  Day 6  Inconsistent Data,"Nov 14, 2024",1014,327,12.7503,17,5880,3.61
n3QpPWMbKYo,1. What is LLM Large Language Model | Introduction | Part 1,"Oct 31, 2024",1768,292,27.9342,11,5936,3.12
XLG6Kp8QxMI,Practical Machine Learning Course Day 5 | Handling Missing Values,"Oct 6, 2024",3094,273,32.9845,5,4092,4.45
TA4qloG1ScY,AI Voice Chatbot The Future of Social Media Automation in Urdu,"Aug 31, 2024",255,230,6.0495,10,2615,2.87
GyDSCU9fQMo,Practical Machine Learning Course  Day 7 Outliers,"Nov 25, 2024",1434,206,12.2358,6,3692,3.39
3GAAAm2_Qzc,Practical Machine Learning Course  | Day 8 | SPOT THE OUTLIERS Like a PRO with Z Score!,"Nov 30, 2024",1177,165,12.0182,7,2936,3.51
Q5PmSdK9rk8,Unlocking Google LLM Gemini Revolutionary Use Cases Every Developer Should Know!,"Sep 26, 2024",1452,157,12.1546,0,3907,2.69
ZQDpg1tzQu4,2. Master LLM Large Language Model | Introduction | Part 2,"Nov 6, 2024",2026,156,12.361,1,2817,3.41
u6YcD5MCFv8,Practical Machine Learning Course   Day 9  OUTLIER Detection Made EASY with IQR!,"Dec 5, 2024",1001,148,6.3541,4,3444,2.76
1LeygY3CTEs,Gemini The Future of RAG   Building a Multimodal App Challenge Lab,"Dec 28, 2024",3233,116,3.5912,2,2191,2.1
uaqc80s5zWs,I Built an AI Youtube Assistant with OpenAI LLM and Here's What Happened,"Oct 17, 2024",431,113,5.1475,3,2324,3.36
zNyqyYbmOUw,Cryptocurrency Secrets,"Sep 12, 2024",943,103,8.9141,2,1874,2.56
K8XusbMeWzY,Vectors and Embeddings for Machine Learning,"Sep 3, 2024",281,99,3.0093,0,3332,1.68
4v12Kp1AYBU,"4. Cracking LLMs  Battle of Tokenizers, Which One is the Best  Part 2","Dec 16, 2024",1170,98,5.0201,0,2043,1.57
SXDVkV6bPbw,Vertex AI's Secret to Perfect Multimodal RAG,"Dec 8, 2024",892,97,5.6945,3,2842,1.79
I4vGN0oR8kA,Suitable Food Finder App | Langchain | OpenAI App,"May 6, 2024",600,93,3.4374,1,571,12.26
HHsp19YM6TA,Retail Recommendation System | Google LLM Gemini | Google Cloud,"Oct 8, 2024",670,89,2.9022,1,2749,1.71
9QNso0VeKII,What is VPN and Proxy Server,"Aug 19, 2024",1056,83,6.2509,0,3148,1.56
9rSKqw2vyeI,5. Cracking LLMs  Demystifying the Power of Language Models Contextualized Word Embeddings Part 3,"Dec 19, 2024",850,80,2.0493,2,2479,1.65
UyxxXr0JOnA,Smart Stock Management in Excel for Small Businesses,"Aug 21, 2024",529,80,1.6589,3,3030,2.05
lK6eCchDlqY,Practical Machine Learning Course Day 10 Data Integration Strategies for ML,"Dec 25, 2024",920,76,3.8211,0,1792,2.46
YdXCSrIabBM,Create professional invoices in seconds with MS Excel!,"Aug 16, 2024",723,73,2.9839,0,2482,1.97
92hwx6q-TkM,3. Cracking LLMs  Why Tokens and Embeddings Matter  Part 1,"Dec 12, 2024",1089,72,4.433,2,1564,2.37
iX1NwapE0ZA,From Zero to Pro Freelancing Course #shorts,"Nov 1, 2024",38,68,0.6851,0,1367,2.71
SZ-8DC87SEg,Practical Machine Learning Course Day 13  Log Transform Your ML Data for Better Predictions,"Jan 14, 2025",930,61,1.9426,1,1024,4
KnINxCP_joU,Practical Machine Learning Course Day 11 Data Transformation and Scaling Techniques for High Perform,"Dec 31, 2024",660,52,2.1055,-1,1448,2.21
bvKLWdbUPtE,Practical Machine Learning Course Day 12 Data Transformation  Data Normalization,"Jan 11, 2025",671,52,1.5984,2,1556,1.99
wS0OC9SbWYA,Cracking LLMs  Demystifying the Power of Language Models Contextualized Word Embeddings #shorts,"Dec 27, 2024",31,47,0.2296,0,273,1.1
DQqKF3EpFQE,Vectors and Embeddings #shorts,"Sep 9, 2024",48,45,0.5953,0,363,5.51
dGhPy-a3B08,Shrink Videos Without Losing Quality! ðŸ”¥  Handbrake Revealed,"Jan 17, 2025",258,36,0.9243,1,1263,1.35
SKy8vV8AaS4,Auto Serial Number in Excel,"Aug 22, 2024",185,35,0.5166,0,2052,1.22
yE8HaxrIoE4,AI powered Retail Product Recommendations  | E commerce Solutions #shorts  #education,"Oct 16, 2024",33,33,0.24,0,557,2.33
pm4u8BBSHDQ,Struggling with Messy Data Here's the Fix! #shorts,"Nov 15, 2024",24,32,0.2079,0,628,2.07
EOhdI4X_RMU,Future of RAG #shorts,"Dec 30, 2024",25,15,0.0788,0,293,2.05
AcNRrhUwKF8,Introduction,"Apr 8, 2019",109,1,0.0021,0,0,
